AFID1, 2.54, 3.18, 0.00, FIDUCIAL, FIDUCIAL_1MM
AFID2, 2.54, 49.53, 0.00, FIDUCIAL, FIDUCIAL_1MM
AFID3, 67.31, 49.53, 0.00, FIDUCIAL, FIDUCIAL_1MM
B1, 66.04, 41.27, 90.00, PUSHBUTTON, BUTTON_EVPBF
B2, 66.04, 26.04, 90.00, PUSHBUTTON, BUTTON_EVPBF
B3, 66.04, 10.79, 90.00, PUSHBUTTON, BUTTON_EVPBF
C1, 65.41, 46.99, 180.00, 0.1u, C0805
C2, 66.04, 32.38, 180.00, 0.1u, C0805
C3, 66.04, 17.14, 180.00, 0.1u, C0805
D1, 31.75, 13.97, 0.00, RGB_CA, PLCC-4
Q1, 17.78, 3.18, 90.00, NPNBEC, SOT23
Q2, 43.18, 40.64, 180.00, NPNBEC, SOT23
Q5, 17.78, 14.61, 90.00, NPNBEC, SOT23
Q6, 17.78, 10.79, 90.00, NPNBEC, SOT23
Q7, 17.78, 6.99, 90.00, NPNBEC, SOT23
R1, 40.64, 23.50, 90.00, 10k', R0805
R10, 23.50, 26.67, 0.00, 330, R0805
R11, 23.50, 29.21, 0.00, 330, R0805
R12, 23.50, 31.75, 0.00, 330, R0805
R13, 23.50, 34.29, 0.00, 330, R0805
R14, 23.50, 36.83, 0.00, 330, R0805
R15, 45.72, 30.48, 90.00, , R0805
R16, 23.50, 13.97, 0.00, 330, R0805
R17, 23.50, 6.35, 0.00, 330, R0805
R18, 23.50, 10.16, 0.00, 330, R0805
R19, 23.50, 2.54, 0.00, 330, R0805
R2, 43.18, 23.50, 90.00, 10k', R0805
R20, 46.36, 40.01, 270.00, 330, R0805
R3, 45.72, 23.50, 90.00, 10k', R0805
R4, 28.58, 15.24, 270.00, 330, R0805
R5, 34.93, 13.97, 90.00, 330, R0805
R6, 31.75, 8.89, 0.00, 330, R0805
R7, 23.50, 19.05, 0.00, 330, R0805
R8, 23.50, 21.59, 0.00, 330, R0805
R9, 23.50, 24.13, 0.00, 330, R0805
SP1, 39.37, 32.38, 90.00, SPEAKER, PKMCS_SPEAKER
